DAY.STR,DAWN.STR,NIGHT.STR,RAIN.STR
14001,14001,14001,14001
18800,18800,18800,18800
14600,14600,14600,14600
18799,18799,18799,18799
14601,14601,14601,14601
25949,25949,25949,25949
22225,22225,22225,22225
13994,13994,13994,13994
13664,13664,13664,13664
14599,14599,14599,14599
18800,18800,18800,18800
18256,18256,18256,18256
15010,15010,15010,15010
11799,11799,11799,11799
18800,18800,18800,18800
15199,15199,15199,15199
18800,18800,18800,18800
23014,23014,23014,23014
22653,22653,22653,22653
19450,19450,19450,19450
19400,19400,19400,19400
19521,19521,19521,19521
15900,15900,15900,15900
19799,19799,19799,19799
18800,18800,18800,18800
18599,18599,18599,18599
18950,18950,18950,18950
18800,18800,18800,18800
16785,16785,16785,16785
13799,13799,13799,13799
16616,16616,16616,16616
18799,18799,18799,18799
16600,16600,16600,16600
17871,17871,17871,17871
18030,18030,18030,18030
18799,18799,18799,18799
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
18799,18799,18799,18799
17900,17900,17900,17900
18799,18799,18799,18799
12400,12400,12400,12400
18799,18799,18799,18799
12200,12200,12200,12200
18800,18800,18800,18800
17200,17200,17200,17200
18842,18842,18842,18842
14200,14200,14200,14200
21818,21818,21818,21818
17890,17890,17890,17890
18799,18799,18799,18799
22400,22400,22400,22400
18800,18800,18800,18800
18801,18801,18801,18801
14249,14249,14249,14249
20400,20400,20400,20400
19432,19432,19432,19432
18801,18801,18801,18801
16599,16599,16599,16599
18800,18800,18800,18800
18799,18799,18799,18799
13000,13000,13000,13000
18799,18799,18799,18799
14400,14400,14400,14400
18799,18799,18799,18799
14500,14500,14500,14500
18799,18799,18799,18799
14600,14600,14600,14600
12808,12808,12808,12808
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
10131,10131,10131,10131
18800,18800,18800,18800
18800,18800,18800,18800
14300,14300,14300,14300
18800,18800,18800,18800
10400,10400,10400,10400
17035,17035,17035,17035
14362,14362,14362,14362
24515,24515,24515,24515
15046,15046,15046,15046
18855,18855,18855,18855
23850,23850,23850,23850
22599,22599,22599,22599
18571,18571,18571,18571
22449,22449,22449,22449
18800,18800,18800,18800
17200,17200,17200,17200
15786,15786,15786,15786
16399,16399,16399,16399
17000,17000,17000,17000
16399,16399,16399,16399
17000,17000,17000,17000
13999,13999,13999,13999
14400,14400,14400,14400
13999,13999,13999,13999
14400,14400,14400,14400
15599,15599,15599,15599
16000,16000,16000,16000
18799,18799,18799,18799
15200,15200,15200,15200
18799,18799,18799,18799
16700,16700,16700,16700
18799,18799,18799,18799
14600,14600,14600,14600
18799,18799,18799,18799
16800,16800,16800,16800
18799,18799,18799,18799
16600,16600,16600,16600
18799,18799,18799,18799
12400,12400,12400,12400
13999,13999,13999,13999
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
18799,18799,18799,18799
12600,12600,12600,12600
21996,21996,21996,21996
23344,23344,23344,23344
18164,18164,18164,18164
22465,22465,22465,22465
18164,18164,18164,18164
22465,22465,22465,22465
23799,23799,23799,23799
19200,19200,19200,19200
23799,23799,23799,23799
19200,19200,19200,19200
16974,16974,16974,16974
18900,18900,18900,18900
16974,16974,16974,16974
18900,18900,18900,18900
15899,15899,15899,15899
18803,18803,18803,18803
15449,15449,15449,15449
18850,18850,18850,18850
20399,20399,20399,20399
18800,18800,18800,18800
20399,20399,20399,20399
18800,18800,18800,18800
20399,20399,20399,20399
18800,18800,18800,18800
20399,20399,20399,20399
19400,19400,19400,19400
20399,20399,20399,20399
19400,19400,19400,19400
20399,20399,20399,20399
18800,18800,18800,18800
20399,20399,20399,20399
19400,19400,19400,19400
20399,20399,20399,20399
19400,19400,19400,19400
20399,20399,20399,20399
19400,19400,19400,19400
16398,16398,16398,16398
18800,18800,18800,18800
16599,16599,16599,16599
18800,18800,18800,18800
16599,16599,16599,16599
18800,18800,18800,18800
14599,14599,14599,14599
